Wall time,Step,Value
1766883646.387542,241940,907.0
1766883646.7500632,242292,907.0
1766883648.3771753,243887,908.0
1766883649.4407303,244919,908.0
1766883652.4743946,248005,909.0
1766883653.309499,248733,909.0
1766883655.3299446,250627,909.0
1766883656.3379147,251571,909.0
1766883660.6121347,256056,911.0
1766883661.4361465,256921,912.0
1766883662.5485826,258104,912.0
1766883663.23581,258806,913.0
1766883665.2776575,260961,914.0
1766883665.957686,261651,914.0
1766883666.602802,262310,914.0
1766883667.7183998,263456,915.0
1766883668.7122276,264503,915.0
1766883670.5532234,266341,916.0
1766883670.9385562,266745,916.0
1766883671.4143915,267252,916.0
1766883671.5902543,267430,916.0
1766883674.0923216,270089,917.0
1766883675.1319454,271218,918.0
1766883679.0286689,275327,920.0
1766883679.8977945,276235,920.0
1766883681.176391,277321,920.0
1766883681.6096082,277782,920.0
1766883682.2943516,278434,920.0
1766883686.2692823,282480,921.0
1766883687.7730951,284071,922.0
1766883689.2504966,285576,922.0
1766883691.6853728,288107,923.0
1766883692.1035092,288555,924.0
1766883692.8263855,289294,924.0
1766883693.4411952,289957,924.0
1766883694.0352998,290532,924.0
1766883695.2259,291777,925.0
1766883695.6313553,292185,925.0
1766883696.3349473,292916,925.0
1766883696.6052125,293185,925.0
1766883697.0113783,293629,925.0
1766883698.5400906,295247,926.0
1766883699.1042483,295845,926.0
1766883703.5267177,300521,928.0
1766883704.722878,301815,928.0
1766883705.335044,302451,929.0
1766883706.8435671,303874,929.0
1766883707.7391763,304808,929.0
1766883708.3558042,305465,929.0
1766883709.7085845,306851,930.0
1766883710.4699109,307623,930.0
1766883710.8657274,308037,930.0
1766883721.6255097,319344,934.0
1766883723.2796845,320973,934.0
1766883724.4591541,322230,934.0
1766883725.0066066,322812,935.0
1766883725.6199872,323436,935.0
1766883725.8874953,323712,935.0
1766883727.6115375,325581,936.0
1766883728.8530622,326767,936.0
1766883729.5455081,327422,936.0
1766883729.9795904,327836,936.0
1766883730.603347,328458,936.0
1766883731.9869444,329709,936.0
1766883735.055108,331808,934.0
1766883736.0192912,332518,933.0
1766883737.1788192,333511,933.0
1766883737.6295083,333829,932.0
1766883738.7750912,334800,932.0
1766883739.3847234,335370,932.0
1766883740.6290057,336538,932.0
1766883741.9075854,337714,932.0
1766883742.5985913,338414,932.0
1766883743.1399798,338949,932.0
1766883743.7592418,339538,932.0
1766883750.3450835,345228,931.0
1766883750.8258421,345687,931.0
1766883753.2795522,347491,930.0
1766883755.2845933,348662,928.0
1766883755.639324,348892,928.0
1766883756.4464273,349425,927.0
1766883757.5426936,350345,927.0
1766883758.8923402,351593,927.0
1766883760.6062243,353091,927.0
1766883761.9011757,354235,927.0
1766883762.847044,355160,927.0
1766883763.148741,355432,927.0
1766883764.2126565,356475,927.0
1766883766.782984,358925,927.0
1766883767.464237,359582,927.0
1766883767.8662043,359953,927.0
1766883768.900271,360857,927.0
1766883769.3691657,361366,927.0
1766883771.1514256,363093,927.0
1766883772.1793113,364179,928.0
1766883772.560446,364598,928.0
1766883773.054326,365117,928.0
1766883773.4718616,365557,928.0
1766883774.0117784,366123,928.0
1766883776.0695212,368171,929.0
1766883776.592432,368670,929.0
1766883777.9846623,370113,929.0
1766883779.302319,371511,929.0
1766883780.0710125,372292,930.0
1766883780.6791081,372850,930.0
1766883782.8715596,374995,930.0
1766883783.70759,375855,930.0
1766883785.5902998,377796,931.0
1766883786.0554733,378245,931.0
1766883786.1541278,378336,931.0
1766883786.5171094,378719,931.0
1766883787.6135583,379830,931.0
1766883789.1679285,381459,931.0
1766883789.7542841,382062,932.0
1766883791.2017577,383586,932.0
1766883791.7132142,384118,932.0
1766883792.362277,384737,932.0
1766883796.562394,389000,933.0
1766883797.5995958,390010,933.0
1766883798.0874083,390495,933.0
1766883799.0882719,391529,933.0
1766883799.3937297,391837,933.0
1766883800.800826,393328,934.0
1766883801.7173824,394235,934.0
1766883805.2349555,397891,935.0
1766883805.825532,398485,935.0
1766883806.2648945,398949,935.0
1766883807.8965201,400505,935.0
1766883809.7776995,402154,935.0
1766883810.2447486,402501,935.0
1766883810.974355,403005,934.0
1766883811.5473535,403473,934.0
1766883812.3816984,404216,934.0
1766883812.735523,404569,934.0
1766883814.9826136,406721,934.0
1766883816.9311643,408627,934.0
1766883818.5988297,410223,934.0
1766883819.6802535,411330,935.0
1766883820.7213469,412369,935.0
1766883821.2907898,412931,935.0
1766883822.005669,413667,935.0
1766883824.8990104,416415,935.0
1766883826.5027342,418068,935.0
1766883827.811206,419279,935.0
1766883828.499303,419998,936.0
1766883832.2225478,423757,936.0
1766883833.9112253,425360,936.0
1766883838.2452238,429818,937.0
1766883838.7333877,430231,937.0
1766883839.1524632,430640,937.0
1766883840.2787445,431708,937.0
1766883842.4359093,433971,938.0
1766883843.1688676,434663,938.0
1766883844.5032585,435835,937.0
1766883844.7912626,436125,937.0
1766883845.023972,436346,937.0
1766883845.8931808,437189,938.0
1766883846.5319574,437803,938.0
1766883848.636216,439748,938.0
1766883859.164097,450129,939.0
1766883859.9604871,450799,938.0
1766883860.5200615,451383,939.0
